id,atk,def,enabled,effect,attribute,stars,spell_type,type,pendulum,monster
3900,100,100,True,10,5,1,0,10,0,1
3901,300,200,True,10,2,1,0,3,0,1
3902,0,0,True,10,5,1,0,11,0,1
3903,0,0,True,10,5,1,0,11,0,1
3904,0,0,True,10,5,1,0,11,0,1
3905,0,0,True,10,5,1,0,11,0,1
3906,500,1200,True,10,5,4,0,10,0,1
3907,500,500,True,10,3,1,0,14,0,1
3908,1000,1000,True,10,2,4,0,3,0,1
3909,1200,1200,True,10,5,3,0,20,0,1
3910,700,700,True,10,3,2,0,13,0,1
3911,5110,5110,True,10,0,0,0,0,0,1
3912,800,800,True,10,5,1,0,13,0,1
3913,5110,5110,True,10,0,0,0,0,0,1
3914,0,0,True,10,2,1,0,3,0,1
3915,0,1000,True,10,1,2,0,11,0,1
3916,0,1000,True,10,1,2,0,11,0,1
3917,0,1000,True,10,1,2,0,11,0,1
3918,0,0,True,10,5,1,0,11,0,1
3919,0,0,True,10,5,1,0,11,0,1
3920,2000,1200,True,10,6,5,0,18,0,1
3921,1000,1500,True,10,5,4,0,6,0,1
3922,5110,5110,True,10,1,7,0,17,0,1
3923,1000,1000,True,10,2,1,0,3,0,1
3924,0,0,True,10,2,1,0,3,0,1
3925,0,0,True,10,6,1,0,13,0,1
3926,0,0,True,10,6,1,0,13,0,1
3927,5110,5110,True,10,0,0,0,0,0,1
3928,300,300,True,10,1,1,0,17,0,1
3929,1000,1000,True,10,2,4,0,15,0,1
3930,500,500,True,10,2,2,0,3,0,1
3931,100,100,True,10,4,1,0,4,0,1
3932,1000,1000,True,10,4,3,0,4,0,1
3933,0,0,True,10,3,1,0,17,0,1
3934,200,200,True,10,5,1,0,7,0,1
3935,500,500,True,10,2,4,0,3,0,1
3936,0,0,True,10,2,1,0,3,0,1
3937,1200,1200,True,10,2,3,0,13,0,1
3938,1500,1500,True,10,1,4,0,7,0,1
3939,2500,2500,True,10,2,7,0,3,0,1
3940,0,0,True,10,2,1,0,3,0,1
3941,100,100,True,10,2,1,0,13,0,1
3942,0,0,True,10,1,1,0,17,0,1
3943,0,0,True,10,2,1,0,3,0,1
3944,0,0,True,10,3,1,0,8,0,1
3945,1000,0,True,10,3,1,0,14,0,1
3946,0,0,True,10,5,1,0,13,0,1
3947,0,0,True,10,6,1,0,13,0,1
3948,800,800,True,10,2,2,0,13,0,1
3949,1500,1500,True,10,2,3,0,3,0,1
3950,800,500,True,10,5,1,0,13,0,1
3951,0,0,True,10,5,1,0,13,0,1
