id,atk,def,enabled,effect,attribute,stars,spell_type,type,pendulum,monster
3900,100,100,True,tokens,Earth,1,?,Insect,0,Normal
3901,300,200,True,tokens,Dark,1,?,Fiend,0,Normal
3902,0,0,True,tokens,Earth,1,?,Beast,0,Normal
3903,0,0,True,tokens,Earth,1,?,Beast,0,Normal
3904,0,0,True,tokens,Earth,1,?,Beast,0,Normal
3905,0,0,True,tokens,Earth,1,?,Beast,0,Normal
3906,500,1200,True,tokens,Earth,4,?,Insect,0,Normal
3907,500,500,True,tokens,Water,1,?,Aqua,0,Normal
3908,1000,1000,True,tokens,Dark,4,?,Fiend,0,Normal
3909,1200,1200,True,tokens,Earth,3,?,Reptile,0,Normal
3910,700,700,True,tokens,Water,2,?,Plant,0,Normal
3911,?,?,True,tokens,?,0,?,?,0,Normal
3912,800,800,True,tokens,Earth,1,?,Plant,0,Normal
3913,?,?,True,tokens,?,0,?,?,0,Normal
3914,0,0,True,tokens,Dark,1,?,Fiend,0,Normal
3915,0,1000,True,tokens,Light,2,?,Beast,0,Normal
3916,0,1000,True,tokens,Light,2,?,Beast,0,Normal
3917,0,1000,True,tokens,Light,2,?,Beast,0,Normal
3918,0,0,True,tokens,Earth,1,?,Beast,0,Normal
3919,0,0,True,tokens,Earth,1,?,Beast,0,Normal
3920,2000,1200,True,tokens,Wind,5,?,Spellcaster,0,Normal
3921,1000,1500,True,tokens,Earth,4,?,Rock,0,Normal
3922,?,?,True,tokens,Light,7,?,Fairy,0,Normal
3923,1000,1000,True,tokens,Dark,1,?,Fiend,0,Normal
3924,0,0,True,tokens,Dark,1,?,Fiend,0,Normal
3925,0,0,True,tokens,Wind,1,?,Plant,0,Normal
3926,0,0,True,tokens,Wind,1,?,Plant,0,Normal
3927,?,?,True,tokens,?,0,?,?,0,Normal
3928,300,300,True,tokens,Light,1,?,Fairy,0,Normal
3929,1000,1000,True,tokens,Dark,4,?,Warrior,0,Normal
3930,500,500,True,tokens,Dark,2,?,Fiend,0,Normal
3931,100,100,True,tokens,Fire,1,?,Pyro,0,Normal
3932,1000,1000,True,tokens,Fire,3,?,Pyro,0,Normal
3933,0,0,True,tokens,Water,1,?,Fairy,0,Normal
3934,200,200,True,tokens,Earth,1,?,Machine,0,Normal
3935,500,500,True,tokens,Dark,4,?,Fiend,0,Normal
3936,0,0,True,tokens,Dark,1,?,Fiend,0,Normal
3937,1200,1200,True,tokens,Dark,3,?,Plant,0,Normal
3938,1500,1500,True,tokens,Light,4,?,Machine,0,Normal
3939,2500,2500,True,tokens,Dark,7,?,Fiend,0,Normal
3940,0,0,True,tokens,Dark,1,?,Fiend,0,Normal
3941,100,100,True,tokens,Dark,1,?,Plant,0,Normal
3942,0,0,True,tokens,Light,1,?,Fairy,0,Normal
3943,0,0,True,tokens,Dark,1,?,Fiend,0,Normal
3944,0,0,True,tokens,Water,1,?,Fish,0,Normal
3945,1000,0,True,tokens,Water,1,?,Aqua,0,Normal
3946,0,0,True,tokens,Earth,1,?,Plant,0,Normal
3947,0,0,True,tokens,Wind,1,?,Plant,0,Normal
3948,800,800,True,tokens,Dark,2,?,Plant,0,Normal
3949,1500,1500,True,tokens,Dark,3,?,Fiend,0,Normal
3950,800,500,True,tokens,Earth,1,?,Plant,0,Normal
3951,0,0,True,tokens,Earth,1,?,Plant,0,Normal
3952,500,500,True,tokens,Earth,1,?,Plant,0,Normal
3953,2000,2000,True,tokens,Dark,6,?,Fiend,0,Normal
3954,300,0,True,tokens,Fire,1,?,Dinosaur,0,Normal
3955,0,0,True,tokens,Earth,1,?,Rock,0,Normal
3956,1800,1300,True,tokens,Dark,5,?,Fairy,0,Normal
3957,1200,1200,True,tokens,Dark,3,?,Fairy,0,Normal
3958,0,0,True,tokens,Dark,1,?,Fiend,0,Normal
3959,0,0,True,tokens,Fire,1,?,Dinosaur,0,Normal
3960,0,0,True,tokens,Earth,1,?,Insect,0,Normal
3961,1200,1200,True,tokens,Light,4,?,Machine,0,Normal
3962,0,0,True,tokens,Earth,1,?,Reptile,0,Normal
3963,100,100,True,tokens,Earth,1,?,Insect,0,Normal
3964,0,0,True,tokens,Dark,1,?,Fiend,0,Normal
3965,0,0,True,tokens,Earth,1,?,Rock,0,Normal
3966,0,0,True,tokens,Earth,1,?,Plant,0,Normal
3967,0,0,True,tokens,Fire,1,?,Pyro,0,Normal
3968,1800,1800,True,tokens,Earth,4,?,Rock,0,Normal
3969,0,0,True,tokens,Dark,1,?,Spellcaster,0,Normal
3970,?,?,True,tokens,?,0,?,?,0,Normal
3971,0,0,True,tokens,Earth,1,?,Machine,0,Normal
3972,400,400,True,tokens,Dark,1,?,Warrior,0,Normal
3973,0,0,True,tokens,Earth,3,?,Beast,0,Normal
3974,1000,1000,True,tokens,Earth,4,?,Warrior,0,Normal
3975,?,?,True,tokens,Dark,1,?,Fiend,0,Normal
3976,100,300,True,tokens,Earth,1,?,Zombie,0,Normal
3977,2000,0,True,tokens,Light,4,?,Thunder,0,Normal
3978,2000,0,True,tokens,Wind,6,?,Machine,0,Normal
3979,0,0,True,tokens,Wind,3,?,Machine,0,Normal
3980,?,0,True,tokens,Dark,1,?,Fiend,0,Normal
3981,?,0,True,tokens,Earth,1,?,Beast,0,Normal
3982,500,500,True,tokens,Dark,1,?,Fiend,0,Normal
3983,?,0,True,tokens,Dark,0,?,Zombie,0,Normal
3984,?,?,True,tokens,Dark,1,?,Fiend,0,Normal
3985,100,100,True,tokens,Wind,1,?,Aqua,0,Normal
3986,0,800,True,tokens,Dark,2,?,Winged Beast,0,Normal
3987,0,0,True,tokens,Earth,1,?,Beast,0,Normal
3988,0,0,True,tokens,Fire,1,?,Fiend,0,Normal
3989,1000,0,True,tokens,Earth,2,?,Machine,0,Normal
3990,800,1000,True,tokens,Light,1,?,Thunder,0,Normal
3991,300,200,True,tokens,Water,1,?,Wyrm,0,Normal
3992,2000,2400,True,tokens,Dark,6,?,Machine,0,Normal
3993,2800,0,True,tokens,Dark,7,?,Fiend,0,Normal
3994,0,0,True,tokens,Dark,1,?,Fiend,0,Normal
3995,0,0,True,tokens,Light,1,?,Dragon,0,Normal
3996,0,0,True,tokens,Dark,1,?,Winged Beast,0,Normal
3997,0,0,True,tokens,Dark,1,?,Zombie,0,Normal
3998,0,0,True,tokens,Water,1,?,Machine,0,Normal
3999,0,0,True,tokens,Earth,1,?,Machine,0,Normal
4007,3000,2500,True,normal monsters,Light,8,?,Dragon,0,Normal
4008,800,2000,True,normal monsters,Light,4,?,Spellcaster,0,Normal
4009,1200,1000,True,normal monsters,Earth,4,?,Beast Warrior,0,Normal
4010,1200,700,True,normal monsters,Wind,3,?,Dragon,0,Normal
4011,1000,500,True,normal monsters,Dark,3,?,Fiend,0,Normal
4012,1300,1400,True,normal monsters,Dark,4,?,Fiend,0,Normal
4013,1400,1200,True,normal monsters,Wind,4,?,Dragon,0,Normal
4014,800,600,True,normal monsters,Earth,2,?,Plant,0,Normal
4015,500,200,True,normal monsters,Dark,1,?,Zombie,0,Normal
4016,1500,800,True,normal monsters,Dark,4,?,Dragon,0,Normal
4017,1750,2030,True,normal monsters,Earth,6,?,Dinosaur,0,Normal
4018,1800,1500,True,effect monsters,Earth,5,?,Warrior,0,Normal
4019,1200,1400,True,normal monsters,Wind,4,?,Winged Beast,0,Normal
4020,1800,1300,True,normal monsters,Earth,5,?,Beast Warrior,0,Normal
4021,1800,1600,True,fusion normal monsters,Fire,5,?,Warrior,0,Normal
4022,500,400,True,effect monsters,Light,2,?,Spellcaster,0,Normal
4023,200,300,True,normal monsters,Dark,1,?,Spellcaster,0,Normal
4024,200,300,True,normal monsters,Dark,1,?,Spellcaster,0,Normal
4025,200,300,True,normal monsters,Dark,1,?,Spellcaster,0,Normal
4026,200,300,True,normal monsters,Dark,1,?,Spellcaster,0,Normal
4027,1000,1000,True,effect monsters,Dark,3,?,Spellcaster,0,Normal
4028,2500,1200,True,normal monsters,Dark,6,?,Fiend,0,Normal
4029,1400,700,True,effect monsters,Earth,3,?,Beast,0,Normal
4030,300,200,True,normal monsters,Dark,1,?,Zombie,0,Normal
4031,1300,1000,True,normal monsters,Dark,4,?,Fiend,0,Normal
4032,1700,1000,True,normal monsters,Earth,4,?,Beast Warrior,0,Normal
4033,1200,1500,True,normal monsters,Earth,4,?,Beast Warrior,0,Normal
4034,800,1200,True,normal monsters,Earth,3,?,Rock,0,Normal
4035,600,1000,True,normal monsters,Earth,3,?,Beast Warrior,0,Normal
4036,1200,900,True,fusion normal monsters,Dark,3,?,Zombie,0,Normal
4037,1500,1200,True,normal monsters,Dark,4,?,Dragon,0,Normal
4038,1600,1200,True,normal monsters,Earth,4,?,Dinosaur,0,Normal
4039,2200,1500,True,normal monsters,Earth,6,?,Warrior,0,Normal
4040,600,1500,True,normal monsters,Dark,3,?,Spellcaster,0,Normal
4041,2500,2100,True,normal monsters,Dark,7,?,Spellcaster,0,Normal
4042,1500,1200,True,normal monsters,Dark,4,?,Zombie,0,Normal
4043,2600,2100,True,fusion normal monsters,Wind,7,?,Dragon,0,Normal
4044,2300,2100,True,normal monsters,Earth,7,?,Warrior,0,Normal
4045,2000,1500,True,normal monsters,Dark,5,?,Dragon,0,Normal
4046,200,1800,True,effect monsters,Fire,3,?,Pyro,0,Normal
4047,1400,1200,True,normal monsters,Earth,4,?,Warrior,0,Normal
4048,1200,2200,True,normal monsters,Dark,5,?,Spellcaster,0,Normal
4049,1500,1200,True,fusion normal monsters,Earth,4,?,Warrior,0,Normal
4050,1600,1000,True,normal monsters,Light,4,?,Spellcaster,0,Normal
4051,1000,500,True,normal monsters,Light,3,?,Thunder,0,Normal
4052,1200,1500,True,normal monsters,Earth,4,?,Beast,0,Normal
4053,1200,600,True,normal monsters,Earth,3,?,Beast,0,Normal
4054,1000,600,True,effect monsters,Dark,3,?,Fiend,0,Normal
4055,1200,1500,True,normal monsters,Earth,4,?,Insect,0,Normal
4056,500,700,True,normal monsters,Earth,2,?,Insect,0,Normal
4057,1500,1200,True,normal monsters,Earth,4,?,Reptile,0,Normal
4058,1500,2000,True,normal monsters,Earth,5,?,Insect,0,Normal
4059,1200,1000,True,normal monsters,Wind,4,?,Insect,0,Normal
4060,1200,1400,True,normal monsters,Earth,4,?,Insect,0,Normal
4061,1500,1200,True,normal monsters,Earth,4,?,Insect,0,Normal
4062,500,400,True,special summon monsters only,Earth,2,?,Insect,0,Normal
4063,2600,2500,True,special summon monsters only,Earth,8,?,Insect,0,Normal
4064,300,200,True,effect monsters,Dark,1,?,Fiend,0,Normal
4065,1200,800,True,normal monsters,Earth,3,?,Dinosaur,0,Normal
4066,1600,800,True,normal monsters,Water,4,?,Fish,0,Normal
4067,1200,800,True,normal monsters,Earth,3,?,Beast,0,Normal
4068,1300,1400,True,normal monsters,Wind,4,?,Winged Beast,0,Normal
4069,1950,2100,True,special summon monsters only,Wind,6,?,Winged Beast,0,Normal
4070,1300,1100,True,normal monsters,Earth,4,?,Beast Warrior,0,Normal
4071,1200,800,True,normal monsters,Earth,3,?,Beast,0,Normal
4072,1500,1200,True,normal monsters,Earth,4,?,Warrior,0,Normal
4073,3500,3000,True,special summon monsters only,Earth,8,?,Insect,0,Normal
4074,1800,1500,True,normal monsters,Fire,5,?,Beast Warrior,0,Normal
4075,2400,2000,True,fusion normal monsters,Wind,7,?,Dragon,0,Normal
4076,1200,1400,True,normal monsters,Water,4,?,Aqua,0,Normal
4077,1200,1500,True,normal monsters,Water,4,?,Aqua,0,Normal
4078,0,2000,True,effect monsters,Earth,3,?,Insect,0,Normal
4079,1800,1500,True,normal monsters,Water,5,?,Sea Serpent,0,Normal
4080,1300,2000,True,normal monsters,Earth,3,?,Rock,0,Normal
4081,800,600,True,normal monsters,Earth,2,?,Plant,0,Normal
4082,1100,1200,True,normal monsters,Water,4,?,Reptile,0,Normal
4083,1300,1200,True,normal monsters,Water,4,?,Reptile,0,Normal
4084,1700,1150,True,normal monsters,Earth,4,?,Warrior,0,Normal
4085,1800,2000,True,normal monsters,Earth,6,?,Dinosaur,0,Normal
4086,1500,800,True,normal monsters,Earth,4,?,Dinosaur,0,Normal
4087,1600,1200,True,normal monsters,Earth,4,?,Dinosaur,0,Normal
4088,2400,2000,True,normal monsters,Dark,7,?,Dragon,0,Normal
4089,920,1930,True,effect monsters,Dark,4,?,Fiend,0,Normal
4090,1380,1930,True,effect monsters,Dark,5,?,Fiend,0,Normal
4091,2000,1530,True,normal monsters,Dark,5,?,Fiend,0,Normal
4092,1380,1530,True,fusion normal monsters,Dark,5,?,Fiend,0,Normal
4093,1610,1460,True,normal monsters,Dark,5,?,Fiend,0,Normal
4094,1150,2150,True,normal monsters,Dark,5,?,Fiend,0,Normal
4095,1000,2000,True,effect monsters,Water,5,?,Aqua,0,Normal
4096,1800,2000,True,normal monsters,Light,6,?,Fairy,0,Normal
4097,1300,1550,True,normal monsters,Earth,4,?,Beast,0,Normal
